product_name,product_price,product_description
Flower Pots,$19.99,Stylish planters for your backyard.
Pawbo+,$199.99,HD camera and treat dispenser for pets.
Desktop Zen Garden,$19.99,A miniature garden for on-the-go meditation.
Post-it Super Sticky Notes,$13.99,"Bold color, strong hold."
Waterproof Dishwashing Gloves,$12.99,Protect hands while washing dishes.
SnapShot Drone,$199.99,"Enjoy aerial photography with a versatile, foldable drone."
Gravity Watch,$199.99,Revolutionizing timekeeping with gravitational movement technology.
Desk Pad,$19.99,Protects your desk while adding functionality.
Zen Chair,$399,"Sit comfortably with this sleek, modern chair."
Constellation Ladies Watch,"$2,300",Stunning diamond-studded timepiece in steel and rose gold.
Lucky Clover Earrings,$29.99,Sterling silver studs with green and clear crystals.
Ultra Slim Wireless Keyboard,$29.99,Compact design with quiet keystrokes for ultimate convenience.
Wireless Earbuds,$59.99,True wireless earbuds with charging case.
Super Smash Bros. Ultimate,$59.99,Iconic fighting game with beloved Nintendo characters.
Trailblazer 100 Kayak,$179.99,Stable and easy to maneuver for casual paddling.
Reusable Silicone Food Bag,$14.99,Eco-friendly and leak-proof alternative to plastic bags.
Sol Simple Organic Almond Butter Squeeze Packs,$14.99,On-the-go almond butter packets made with organic almonds.
Smart Wi-Fi Food Scale,$49.99,Easily measure food portions and nutritional data with smartphone connectivity.
Rocky - The Undisputed Collection,$34.99,A legendary boxer's complete journey in one set.
Kettlesmart Electric Kettle,$39.99,Rapid boiling and cordless design make tea time easy.
Skagen Freja Minimalist Watch,$115,Stainless steel mesh band and crystal markers.
Stackable Can Rack Organizer,$24.99,Organize your pantry and save space!
"Big Slice Kettle Cooked Apples, Blueberry Pomegranate",$3.49,"Delicious, healthy, and convenient snack made with real fruit!"
Kala KA-15S Satin Mahogany Soprano Ukulele,$74.99,A beautifully crafted and easy-to-play soprano ukulele perfect for beginners and pros alike.
J-B Weld 8265S Original Cold-Weld Steel Reinforced Epoxy,$7.02,"A strong, two-part epoxy that can bond to almost any surface and is resistant to heat and water."
Fusion Watch,$129.99,A stylish watch with interchangeable bands.
Phone Disco Light,$14.99,Illuminate your selfie game!
Pixicolor Bracelet Watch,$89.99,Colorful watch with interchangeable bands.
Infrared Thermometer,$29.99,Measures temperature without contact.
Electric Kettle,$39.99,Quickly boils water for coffee or tea.
Band Hero Bundle,$39.99,Multiplayer music game with guitar and drums.
Wire Tracker Tester,$26.99,Locates wires and cables behind walls.
Harmonica,$25.99,Portable and easy to learn.
Sunray Headband,$12.99,Keep your hair out of your face during workouts.
Roadside Assistance Kit,$49.99,A comprehensive kit for any road emergency.
Cozy Outdoor Fire Pit,$199.99,Enjoy warmth and ambiance in any outdoor living space.
Gravity Rush 2,$19.99,Defy gravity and save a world in peril.
Aqua Mouse Pad,$9.99,Upgrade your desk with a splash of color.
Gaming Headset,$89.99,Immerse yourself in the game with crystal clear sound.
Electric Screwdriver Set,$29.99,Compact and powerful screwdriver set for any DIY project.
Rain Bird Automatic Sprinkler Timer,$49.99,Manage your lawn watering with ease.
Speedy Tennis Ball Machine,$799,Automatically shoot balls from 30-85 MPH.
The Juice Master,$129.99,"Powerful juicer for fresh, healthy drinks."
Wonder Bibs,$19.99,Waterproof bibs with flip pocket to catch mess.
Blank Cardstock Paper,$12.99,High-quality cardstock perfect for creative projects.
Flora Accent Chair,$299,"Stylish and comfortable, perfect addition to any living space."
Baby Shusher,$34.99,A shushing machine that soothes fussy babies.
Galaxy S21 Ultra 5G,$1199.99,Ultimate Samsung smartphone with 108MP camera.
Dinosaur Fossil Digging Kit,$29.99,Excavate a T-Rex bone like a paleontologist.
Colorful Keychain Set,$12.99,"Vibrant, handmade keychains perfect for organizing your keys or adding flair to your bag."
ZoomCam,$199,A pocket-sized camera with powerful zoom capabilities.
Frog Statue,$24.99,Lifelike frog garden decoration.
EasyGoProducts Telescoping Ladder,$109.99,"Compact, durable ladder for any job."
Swaddle Blanket,$19.99,Soft and cozy wrap for newborns.
Outback Hat,$39.99,Get outdoors with full protection.
Double Exposure Camera,$89.99,Capture two images in one frame.
Handpan drum,$699,Steel instrument with soothing sound.
Trail Camera,$99.99,Capture wildlife in high definition.
Blooming Gardenia Tree,$49.99,Fragrant flowering shrub for outdoor spaces.
Logitech K380 Multi-Device Bluetooth Keyboard,$29.99,Compact wireless keyboard for multiple devices.
Trailblazer Camping Stove,$79.99,Compact and portable stove for outdoor cooking.
Logitech K400 Plus Wireless Touch TV Keyboard,$24.99,Wireless keyboard with touchpad for smart TVs.
Ruffle Hem Mini Dress,$65.99,"Flirty and fun, perfect for summer."
Cricut Joy Machine,$159.99,Compact cutting and writing machine for personalized projects.
Squishy Unicorn Stress Ball,$6.99,A cute and squishy way to relieve stress.
Loonie Tunes Memory Game,$14.99,Test your memory skills with beloved cartoon characters.
FlexiFlyer Snow Scooter,$39.99,The ultimate winter sled alternative for kids.
